time,call,model,prompt,output,thinking,cached,usd
2026-09-18T01:24:33,extract,gemini-3.8-flash,819,1260,0,0,0.005339
2026-09-18T01:24:37,coverage,gemini-3.8-flash,1698,908,0,0,0.004679
2026-09-18T01:24:39,group:risk,gemini-3.8-flash,1909,156,0,0,0.002017
2026-09-18T01:24:39,group:understanding,gemini-3.8-flash,2308,380,0,0,0.003156
2026-09-18T01:24:40,group:commercials,gemini-3.8-flash,2318,675,0,0,0.004270
2026-09-18T01:24:51,coverage,gemini-3.8-flash,1726,864,3152,0,0.016355
2026-09-18T01:24:53,group:risk,gemini-3.8-flash,1908,162,0,0,0.002038
2026-09-18T01:24:54,group:understanding,gemini-3.8-flash,2307,435,0,0,0.003361
2026-09-18T01:24:55,group:commercials,gemini-3.8-flash,2249,659,0,0,0.004158
2026-09-18T01:25:00,coverage,gemini-3.8-flash,2062,336,1146,0,0.007104
2026-09-18T01:25:01,group:risk,gemini-3.8-flash,2170,239,0,0,0.002524
2026-09-18T01:25:02,group:commercials,gemini-3.8-flash,2511,447,0,0,0.003560
2026-09-18T01:25:02,group:understanding,gemini-3.8-flash,2569,428,0,0,0.003532
2026-09-18T01:25:14,coverage,gemini-3.8-flash,1763,898,2802,0,0.015197
2026-09-18T01:25:18,group:risk,gemini-3.8-flash,1949,374,0,0,0.002864
2026-09-18T01:25:18,group:commercials,gemini-3.8-flash,2197,840,0,0,0.004798
2026-09-18T01:25:19,group:understanding,gemini-3.8-flash,2348,391,0,0,0.003227
2026-09-18T01:25:22,group:risk,gemini-3.8-flash,1006,145,0,0,0.001298
2026-09-18T01:25:23,group:understanding,gemini-3.8-flash,1043,354,0,0,0.002110
2026-09-18T01:25:24,group:commercials,gemini-3.8-flash,1347,659,0,0,0.003481
2026-09-17T23:55:08,extract,gemini-3.8-flash,815,1265,0,0,0.005355
2026-09-17T23:55:18,coverage,gemini-3.8-flash,1723,921,2490,0,0.014084
2026-09-17T23:55:19,group:risk,gemini-3.8-flash,1935,205,0,0,0.002220
2026-09-17T23:55:20,group:understanding,gemini-3.8-flash,2330,424,0,0,0.003338
2026-09-17T23:55:22,group:commercials,gemini-3.8-flash,2302,738,0,0,0.004494
2026-09-18T04:17:42,extract,gemini-3.8-flash,819,1275,0,0,0.005396
2026-09-18T04:17:51,coverage,gemini-3.8-flash,1730,886,2285,0,0.013189
2026-09-18T04:17:53,group:risk,gemini-3.8-flash,1927,155,0,0,0.002027
2026-09-18T04:17:54,group:understanding,gemini-3.8-flash,2326,424,0,0,0.003334
2026-09-18T04:17:54,group:commercials,gemini-3.8-flash,2268,657,0,0,0.004165
2026-09-18T04:21:00,extract,gemini-3.8-flash,819,808,4971,0,0.022285
2026-09-18T04:21:15,coverage,gemini-3.8-flash,1751,576,4620,0,0.020798
2026-09-18T04:21:17,group:risk,gemini-3.8-flash,1941,321,0,0,0.002659
2026-09-18T04:21:19,group:commercials,gemini-3.8-flash,2189,903,0,0,0.005028
2026-09-18T04:21:24,group:understanding,gemini-3.8-flash,2340,375,0,0,0.003161
2026-09-18T04:34:43,extract,gemini-3.8-flash,819,1264,0,0,0.005354
2026-09-18T04:34:49,coverage,gemini-3.8-flash,2061,607,1688,0,0.010152
2026-09-18T04:34:51,group:risk,gemini-3.8-flash,2169,165,0,0,0.002246
2026-09-18T04:34:52,group:understanding,gemini-3.8-flash,2568,385,0,0,0.003370
2026-09-18T04:34:52,group:commercials,gemini-3.8-flash,2510,494,0,0,0.003735
2026-09-18T04:53:01,extract,gemini-3.8-flash,819,1213,362,0,0.006521
2026-09-18T04:53:07,coverage,gemini-3.8-flash,2032,547,1569,0,0.009459
2026-09-18T04:53:09,group:risk,gemini-3.8-flash,2127,222,0,0,0.002428
2026-09-18T04:53:10,group:commercials,gemini-3.8-flash,2468,506,0,0,0.003749
2026-09-18T04:53:12,group:understanding,gemini-3.8-flash,2526,425,0,0,0.003488
2026-09-18T05:00:03,extract,gemini-3.8-flash,819,1235,559,0,0.007342
2026-09-18T05:05:13,extract,gemini-3.8-flash,819,1292,0,0,0.005459
2026-09-18T05:05:23,extract,gemini-3.8-flash,819,1231,884,0,0.008545
2026-09-18T05:05:30,coverage,gemini-3.8-flash,1737,885,1155,0,0.008953
2026-09-18T05:05:32,group:understanding,gemini-3.8-flash,2329,361,0,0,0.003100
2026-09-18T05:05:32,group:risk,gemini-3.8-flash,1930,309,0,0,0.002606
2026-09-18T05:05:34,group:commercials,gemini-3.8-flash,2178,848,0,0,0.004814
2026-09-18T07:41:38,group:custom,gemini-3.8-flash,2176,149,0,0,0.002191
2026-09-18T07:18:47,extract,gemini-3.8-flash,819,1240,1341,0,0.010293
2026-09-18T07:19:16,coverage,gemini-3.8-flash,1741,587,8090,0,0.033844
2026-09-18T07:19:19,group:risk,gemini-3.8-flash,1936,316,0,0,0.002637
2026-09-18T07:19:19,group:commercials,gemini-3.8-flash,2184,772,0,0,0.004533
2026-09-18T07:19:20,group:understanding,gemini-3.8-flash,2335,395,0,0,0.003233
2026-09-18T07:21:09,extract,gemini-3.8-flash,819,840,1334,0,0.008767
2026-09-18T07:40:40,extract,gemini-3.8-flash,819,823,3363,0,0.016312
2026-09-18T07:40:44,coverage,gemini-3.8-flash,1777,906,0,0,0.004730
2026-09-18T07:40:46,group:understanding,gemini-3.8-flash,2371,355,0,0,0.003109
2026-09-18T07:40:47,group:commercials,gemini-3.8-flash,2220,770,0,0,0.004553
2026-09-18T07:40:48,group:risk,gemini-3.8-flash,1972,300,0,0,0.002604
2026-09-18T07:42:33,extract,gemini-3.8-flash,819,1280,0,0,0.005414
2026-09-18T07:42:45,coverage,gemini-3.8-flash,1780,956,2634,0,0.014797
2026-09-18T07:42:48,group:commercials,gemini-3.8-flash,2258,708,0,0,0.004348
2026-09-18T07:42:50,group:risk,gemini-3.8-flash,2010,353,0,0,0.002831
2026-09-18T07:42:51,group:understanding,gemini-3.8-flash,2409,526,0,0,0.003779
2026-09-18T07:43:37,extract,gemini-3.8-flash,819,1258,0,0,0.005332
2026-09-18T07:43:54,coverage,gemini-3.8-flash,1800,595,5802,0,0.025339
2026-09-18T07:43:57,group:risk,gemini-3.8-flash,2003,288,0,0,0.002582
2026-09-18T07:43:57,group:understanding,gemini-3.8-flash,2402,543,0,0,0.003838
2026-09-18T07:44:01,group:commercials,gemini-3.8-flash,2251,940,0,0,0.005213
2026-09-18T07:44:44,extract,gemini-3.8-flash,819,1284,0,0,0.005429
2026-09-18T07:44:59,coverage,gemini-3.8-flash,1813,898,4120,0,0.020177
2026-09-18T07:45:01,group:risk,gemini-3.8-flash,2010,337,0,0,0.002771
2026-09-18T07:45:02,group:commercials,gemini-3.8-flash,2258,810,0,0,0.004731
2026-09-18T07:45:08,group:understanding,gemini-3.8-flash,2409,497,0,0,0.003671
2026-09-18T07:48:09,extract,gemini-3.8-flash,819,1258,0,0,0.005332
2026-09-18T07:48:20,extract,gemini-3.8-flash,819,1284,0,0,0.005429
2026-09-18T07:48:26,coverage,gemini-3.8-flash,2070,336,1458,0,0.008280
2026-09-18T07:48:29,group:risk,gemini-3.8-flash,2178,221,0,0,0.002462
2026-09-18T07:48:29,group:understanding,gemini-3.8-flash,2577,411,0,0,0.003474
2026-09-18T07:48:29,group:commercials,gemini-3.8-flash,2519,456,0,0,0.003599
2026-09-18T07:48:47,coverage,gemini-3.8-flash,1763,973,11428,0,0.047826
2026-09-18T07:48:49,group:understanding,gemini-3.8-flash,2392,308,0,0,0.002949
2026-09-18T07:48:50,group:risk,gemini-3.8-flash,1993,358,0,0,0.002837
2026-09-18T07:48:50,group:commercials,gemini-3.8-flash,2241,749,0,0,0.004489
2026-09-18T07:51:23,extract,gemini-3.8-flash,819,1288,1919,0,0.012641
2026-09-18T07:51:31,extract,gemini-3.8-flash,819,1226,0,0,0.005212
2026-09-18T07:51:40,extract,gemini-3.8-flash,819,780,6556,0,0.028124
2026-09-18T07:51:40,coverage,gemini-3.8-flash,1704,745,1545,0,0.009865
2026-09-18T07:51:42,group:risk,gemini-3.8-flash,1852,173,0,0,0.002038
2026-09-18T07:51:43,group:understanding,gemini-3.8-flash,2251,435,0,0,0.003319
2026-09-18T07:51:43,group:commercials,gemini-3.8-flash,2193,659,0,0,0.004116
2026-09-18T07:51:56,coverage,gemini-3.8-flash,1660,606,4879,0,0.021814
2026-09-18T07:51:58,group:risk,gemini-3.8-flash,1858,147,0,0,0.001945
2026-09-18T07:51:58,group:understanding,gemini-3.8-flash,2257,350,0,0,0.003005
2026-09-18T07:52:00,group:commercials,gemini-3.8-flash,2267,672,0,0,0.004220
2026-09-18T07:59:42,extract,gemini-3.8-flash,819,1304,3495,0,0.018610
2026-09-18T08:00:19,coverage,gemini-3.8-flash,1790,951,11326,0,0.047381
2026-09-18T08:00:21,group:risk,gemini-3.8-flash,2013,321,0,0,0.002714
2026-09-18T08:00:23,group:understanding,gemini-3.8-flash,2412,346,0,0,0.003106
2026-09-18T08:00:27,group:commercials,gemini-3.8-flash,2261,811,0,0,0.004737
